,Name,new_name,geo_loc
0,Banashankari,Bangalore Banashankari,"(15.8876779, 75.7046777)"
1,Basavanagudi,Bangalore Basavanagudi,"(12.9417261, 77.5755021)"
2,Mysore Road,Bangalore Mysore Road,"(12.3872141, 76.6669626)"
3,Jayanagar,Bangalore Jayanagar,"(27.64392675, 83.05280519687284)"
4,Kumaraswamy Layout,Bangalore Kumaraswamy Layout,"(12.9081487, 77.5553179)"
5,Rajarajeshwari Nagar,Bangalore Rajarajeshwari Nagar,"(12.9274413, 77.5155224)"
6,Vijay Nagar,Bangalore Vijay Nagar,"(12.0194147, 93.0065204)"
7,Uttarahalli,Bangalore Uttarahalli,"(12.9055682, 77.5455438)"
8,JP Nagar,Bangalore JP Nagar,"(12.2655944, 76.6465404)"
9,South Bangalore,Bangalore South Bangalore,"(12.8845448, 77.5701276)"
10,City Market,Bangalore City Market,"(39.76880625, -86.15345077251979)"
11,Bannerghatta Road,Bangalore Bannerghatta Road,"(12.9399392, 77.602327)"
12,BTM,Bangalore BTM,"(45.95485055, -112.49659530324134)"
13,Kanakapura Road,Bangalore Kanakapura Road,"(12.5607431, 77.4258375)"
14,Bommanahalli,Bangalore Bommanahalli,"(12.9089453, 77.6239038)"
15,CV Raman Nagar,Bangalore CV Raman Nagar,"(17.2510682, 80.1651978)"
16,Electronic City,Bangalore Electronic City,"(-8.6368007, 115.2147012)"
17,Sarjapur Road,Bangalore Sarjapur Road,"(12.924299, 77.6517653)"
18,Wilson Garden,Bangalore Wilson Garden,"(12.9489339, 77.5968273)"
19,Shanti Nagar,Bangalore Shanti Nagar,"(12.983117, 80.0578688)"
20,Koramangala 5th Block,Bangalore Koramangala 5th Block,"(12.9343774, 77.628415)"
21,Richmond Road,Bangalore Richmond Road,"(40.5763076, -74.1270894)"
22,HSR,Bangalore HSR,"(18.1475, 41.538889)"
23,Marathahalli,Bangalore Marathahalli,"(12.9552572, 77.6984163)"
24,Koramangala 7th Block,Bangalore Koramangala 7th Block,"(12.9302645, 77.6332585)"
25,Bellandur,Bangalore Bellandur,"(12.93577245, 77.66676103753434)"
26,Whitefield,Bangalore Whitefield,"(44.3730577, -71.6118577)"
27,East Bangalore,Bangalore East Bangalore,"(12.9845687, 77.73766474151809)"
28,Old Airport Road,Bangalore Old Airport Road,"(33.9752198, -93.8420146)"
29,Indiranagar,Bangalore Indiranagar,"(12.9732913, 77.6404672)"
30,Koramangala 1st Block,Bangalore Koramangala 1st Block,"(12.927667750000001, 77.63034908414326)"
31,Frazer Town,Bangalore Frazer Town,"(12.996845, 77.6130165)"
32,MG Road,Bangalore MG Road,"(12.5000744, 74.9888971)"
33,Brigade Road,Bangalore Brigade Road,"(40.28745, -76.964526)"
34,Lavelle Road,Bangalore Lavelle Road,"(40.7652844, -76.373824)"
35,Church Street,Bangalore Church Street,"(40.7160591, -74.0070597)"
36,Ulsoor,Bangalore Ulsoor,"(12.9778793, 77.6246697)"
37,Residency Road,Bangalore Residency Road,"(4.8538161, 100.7456672)"
38,Shivajinagar,Bangalore Shivajinagar,"(18.5322493, 73.8499601124847)"
39,Infantry Road,Bangalore Infantry Road,"(34.977289, -78.974578)"
40,St. Marks Road,Bangalore St. Marks Road,"(33.1193914, -84.8260864)"
41,Cunningham Road,Bangalore Cunningham Road,"(31.89376, -88.066644)"
42,Race Course Road,Bangalore Race Course Road,"(52.7678265, 0.2986572)"
43,Commercial Street,Bangalore Commercial Street,"(51.51697, -0.0732373)"
44,Vasanth Nagar,Bangalore Vasanth Nagar,"(12.988721250000001, 77.58516877601824)"
45,Domlur,Bangalore Domlur,"(12.9624669, 77.6381958)"
46,Koramangala 8th Block,Bangalore Koramangala 8th Block,"(12.9417812, 77.6160146)"
47,Ejipura,Bangalore Ejipura,"(12.945245, 77.6269144)"
48,Jeevan Bhima Nagar,Bangalore Jeevan Bhima Nagar,"(12.9678074, 77.6568367)"
49,Old Madras Road,Bangalore Old Madras Road,"(13.0083898, 77.6942235)"
50,Seshadripuram,Bangalore Seshadripuram,"(12.9931876, 77.5753419)"
51,Kammanahalli,Bangalore Kammanahalli,"(13.0093455, 77.6377094)"
52,Koramangala 6th Block,Bangalore Koramangala 6th Block,"(12.9400321, 77.6203272)"
53,Majestic,Bangalore Majestic,"(1.2847055, 103.84320655721689)"
54,Langford Town,Bangalore Langford Town,"(12.957998, 77.6037312)"
55,Central Bangalore,Bangalore Central Bangalore,"(13.0101286, 77.5548006)"
56,Sanjay Nagar,Bangalore Sanjay Nagar,"(30.1915796, 74.9408769)"
57,Brookefield,Bangalore Brookefield,"(33.5935063, -79.0345627)"
58,"ITPL Main Road, Whitefield","Bangalore ITPL Main Road, Whitefield","(12.9866817, 77.7318033)"
59,"Varthur Main Road, Whitefield","Bangalore Varthur Main Road, Whitefield","(12.9414662, 77.7470942)"
60,Koramangala 2nd Block,Bangalore Koramangala 2nd Block,"(12.9243509, 77.6255562)"
61,Koramangala 3rd Block,Bangalore Koramangala 3rd Block,"(12.9271867, 77.6266252)"
62,Koramangala 4th Block,Bangalore Koramangala 4th Block,"(12.93433385, 77.63040639553275)"
63,Koramangala,Bangalore Koramangala,"(13.2923988, 77.7519261)"
64,Hosur Road,Bangalore Hosur Road,"(12.7388829, 77.8214033)"
65,Rajajinagar,Bangalore Rajajinagar,"(12.9882338, 77.554883)"
66,RT Nagar,Bangalore RT Nagar,"(13.0227204, 77.595715)"
67,Banaswadi,Bangalore Banaswadi,"(13.0141618, 77.6518539)"
68,North Bangalore,Bangalore North Bangalore,"(12.9767936, 77.590082)"
69,Nagawara,Bangalore Nagawara,"(13.2227, 78.5541977)"
70,Hennur,Bangalore Hennur,"(13.0258087, 77.6305067)"
71,Kalyan Nagar,Bangalore Kalyan Nagar,"(13.0221416, 77.6403368)"
72,HBR Layout,Bangalore HBR Layout,"(13.0358698, 77.6323597)"
73,Rammurthy Nagar,Bangalore Rammurthy Nagar,
74,Thippasandra,Bangalore Thippasandra,"(12.973936, 77.6509982)"
75,Kaggadasapura,Bangalore Kaggadasapura,"(12.9846713, 77.6790908)"
76,Hebbal,Bangalore Hebbal,"(13.0382184, 77.5919)"
77,Kengeri,Bangalore Kengeri,"(12.9176571, 77.4837568)"
78,New BEL Road,Bangalore New BEL Road,"(13.0435078, 77.5611426)"
79,Sankey Road,Bangalore Sankey Road,"(38.7801076, -121.5056438)"
80,Malleshwaram,Bangalore Malleshwaram,"(13.0027353, 77.5703253)"
81,Sadashiv Nagar,Bangalore Sadashiv Nagar,"(15.8782951, 74.5084834)"
82,Basaveshwara Nagar,Bangalore Basaveshwara Nagar,"(12.2949402, 76.6160796)"
83,Yeshwantpur,Bangalore Yeshwantpur,"(13.02383, 77.5529215)"
84,West Bangalore,Bangalore West Bangalore,"(12.9848519, 77.5400626)"
85,Magadi Road,Bangalore Magadi Road,"(12.945048, 77.263004)"
86,Yelahanka,Bangalore Yelahanka,"(13.1006982, 77.5963454)"
87,Sahakara Nagar,Bangalore Sahakara Nagar,"(18.4900796, 73.8475301)"
88,Jalahalli,Bangalore Jalahalli,"(13.6510577, 77.4305219)"
89,Nagarbhavi,Bangalore Nagarbhavi,"(12.95961755, 77.51126721318181)"
90,Peenya,Bangalore Peenya,"(13.0329419, 77.5273253)"
91,KR Puram,Bangalore KR Puram,"(13.007516, 77.695935)"
